Name,URL,Author,Price,Average Rating,Number of Ratings
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1,Wonder House Books,₹101.00,4.4,"23,759"
101 Brain Booster Activity Book: Fun Activity Book For Children,https://www.amazon.in/101-Brain-Booster-Activity-Book/dp/9388369793/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1,Wonder House Books,₹194.00,4.4,"5,278"
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1,Eric Jorgenson,₹199.00,4.6,"13,362"
5000 + Daily Use English Sentences | Kanchan Keshari,https://www.amazon.in/Daily-English-Sentences-Kanchan-Keshari/dp/9394200509/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1,Kanchan Keshari,₹269.00,4.3,115
As a Man Thinketh,https://www.amazon.in/As-Man-Thinketh-James-Allen/dp/9386538172/ref=zg_bs_books_sccl_8/000-0000000-0000000?psc=1,James Allen,₹69.00,4.4,"10,637"
The Alchemist,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_books_sccl_9/000-0000000-0000000?psc=1,Paulo Coelho,₹229.00,4.6,"133,701"
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_books_sccl_10/000-0000000-0000000?psc=1,Dale Carnegie,₹299.00,4.5,"22,401"
CBSE All In One Social Science Class 10 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),https://www.amazon.in/Social-Science-2022-23-latest-Syllabus/dp/9326196879/ref=zg_bs_books_sccl_11/000-0000000-0000000?psc=1,Farah Sultan Madhumita Pattrea,₹299.00,4.4,"1,021"
A Good Girl'S Guide To Murder,https://www.amazon.in/Good-Girls-Guide-Murder/dp/1405293187/ref=zg_bs_books_sccl_12/000-0000000-0000000?psc=1,Holly Jackson,₹220.00,4.6,"32,729"
"Man's Search For Meaning: The classic tribute to hope from the Holocaust Frankl, Viktor E",https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_books_sccl_13/000-0000000-0000000?psc=1,Viktor E Frankl,₹197.00,4.5,"77,634"
Secondary School Mathematics for Class 9 - CBSE - by R.S. Aggarwal Examination 2023-2024,https://www.amazon.in/Secondary-School-Mathematics-Class-Examination/dp/9350271850/ref=zg_bs_books_sccl_14/000-0000000-0000000?psc=1,"Veena Aggarwal, R S; Aggarwal",₹350.00,4.5,"2,217"
"Oswaal NEET (UG) 17 Years Solved Papers-2006-2022 Physics, Chemistry, Biology (For 2023 Exam)",https://www.amazon.in/Oswaal-Papers-2006-2022-Physics-Chemistry-Biology/dp/9355953755/ref=zg_bs_books_sccl_15/000-0000000-0000000?psc=1,Oswaal Editorial Board,₹718.00,4.5,453
Don't Believe Everything You Think,https://www.amazon.in/Dont-Believe-Everything-You-Think/dp/935543135X/ref=zg_bs_books_sccl_16/000-0000000-0000000?psc=1,Joseph Nguyen,₹200.00,4.5,"1,172"
Hanuman Chalisa,https://www.amazon.in/Hanuman-Chalisa-Shubha-Vilas/dp/9354405584/ref=zg_bs_books_sccl_17/000-0000000-0000000?psc=1,Shubha Vilas,₹180.00,5.0,7
Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop,https://www.amazon.in/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X/ref=zg_bs_books_sccl_18/000-0000000-0000000?psc=1,Brijbhoomi Books And Handicrafts,₹187.00,4.8,"15,332"
Concept of Physics by H.C Verma Part - I - Session 2022-23,https://www.amazon.in/Concept-Physics-Part-1-2018-2019-Session/dp/8177091875/ref=zg_bs_books_sccl_19/000-0000000-0000000?psc=1,H.C. Verma,₹380.00,4.6,"12,671"
Not Available,https://www.amazon.in/Trading-Breakout-Pattern-Candlestick-Beginners/dp/B09Z85R4SW/ref=zg_bs_books_sccl_20/000-0000000-0000000?psc=1,Unknown Binding,₹219.00,4.1,"2,039"
